GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US00740,00740,ZCTA5 00740,14500,3769,16579,4842,19212,6499,-,**
8600000US00741,00741,ZCTA5 00741,20363,4363,20323,4627,25242,9295,17069,10177
8600000US00745,00745,ZCTA5 00745,23344,1792,27103,1639,33351,2505,11117,1386
8600000US00751,00751,ZCTA5 00751,16177,1626,18462,2034,24822,2562,9361,874
8600000US00754,00754,ZCTA5 00754,16927,1285,21354,1987,24276,1998,10587,1507
8600000US00757,00757,ZCTA5 00757,15295,1837,19038,3212,29138,6192,9532,1460
8600000US00765,00765,ZCTA5 00765,17604,3984,26040,4226,25508,3601,14433,1715
8600000US00766,00766,ZCTA5 00766,18670,1212,22379,1916,27704,2254,9905,993
8600000US00767,00767,ZCTA5 00767,16342,1518,20821,1890,27184,1680,10107,1575
8600000US00769,00769,ZCTA5 00769,18578,1364,22140,1526,30906,2161,10597,1324
8600000US00771,00771,ZCTA5 00771,19982,1957,23336,1650,27729,2572,9916,1690
8600000US00772,00772,ZCTA5 00772,15725,1917,17992,1844,28182,4428,8331,1851
8600000US00773,00773,ZCTA5 00773,19658,2017,23144,1748,30385,4653,10916,2403
8600000US00775,00775,ZCTA5 00775,20221,3645,23598,2246,30000,6751,13000,4212
8600000US00777,00777,ZCTA5 00777,19249,1520,21048,1348,26974,2942,11992,1847
8600000US00778,00778,ZCTA5 00778,31070,2435,36848,4424,46458,5772,12952,2403
8600000US00780,00780,ZCTA5 00780,20985,1857,25484,4257,31389,6331,10239,4199
8600000US00782,00782,ZCTA5 00782,12752,1265,15463,1480,19103,2980,7587,1963
8600000US00783,00783,ZCTA5 00783,14465,1332,16869,2311,22819,2972,8227,1680
8600000US00784,00784,ZCTA5 00784,15383,897,18252,1576,26623,2685,9498,1393
8600000US00786,00786,ZCTA5 00786,-,**,-,**,20234,15962,-,**
8600000US00791,00791,ZCTA5 00791,19269,775,22343,1558,30683,1968,12601,1090
8600000US00794,00794,ZCTA5 00794,14785,1219,16203,1536,23294,4377,8188,1501
8600000US00795,00795,ZCTA5 00795,20459,970,21867,1005,27144,3008,12456,1460
8600000US00901,00901,ZCTA5 00901,16612,2276,29453,7489,75625,16913,11720,1437
8600000US00906,00906,ZCTA5 00906,-,**,-,**,-,**,-,**
8600000US00907,00907,ZCTA5 00907,31836,3542,39957,6038,61281,10923,25803,2981
8600000US00909,00909,ZCTA5 00909,16219,1656,17182,2930,26131,7105,14250,1802
8600000US00911,00911,ZCTA5 00911,29325,3153,47997,8601,58229,17189,22976,3326
8600000US00912,00912,ZCTA5 00912,20663,4097,20109,5071,33750,8299,18799,3228
8600000US00913,00913,ZCTA5 00913,6989,1802,6115,2289,23158,9072,6667,2854
8600000US00915,00915,ZCTA5 00915,13573,1073,15949,933,22813,2716,9514,834
8600000US00917,00917,ZCTA5 00917,13913,1389,17171,1595,25648,2442,9888,1208
8600000US00918,00918,ZCTA5 00918,21030,3505,37463,8217,62281,10654,14471,2935
8600000US00920,00920,ZCTA5 00920,25591,1646,30711,1522,37922,3461,17319,2136
8600000US00921,00921,ZCTA5 00921,18334,1222,21285,1459,34983,6519,12373,1574
8600000US00923,00923,ZCTA5 00923,14631,1346,17497,1810,28198,2560,10471,1197
8600000US00924,00924,ZCTA5 00924,18535,1167,23576,2305,40448,2828,11747,1192
8600000US00925,00925,ZCTA5 00925,10247,2188,16688,4692,14250,2695,7894,1737
8600000US00926,00926,ZCTA5 00926,32583,1951,39517,2846,54925,4401,21552,1667
8600000US00927,00927,ZCTA5 00927,32083,3532,43644,5007,63049,9471,20219,2632
8600000US00934,00934,ZCTA5 00934,66063,14689,-,**,-,**,-,**
8600000US00936,00936,ZCTA5 00936,-,**,-,**,-,**,-,**
8600000US00949,00949,ZCTA5 00949,25226,988,30290,1641,37727,2512,15703,1470
8600000US00950,00950,ZCTA5 00950,-,**,-,**,-,**,-,**
8600000US00951,00951,ZCTA5 00951,-,**,-,**,-,**,-,**
8600000US00952,00952,ZCTA5 00952,16577,2133,21524,4221,24695,5992,8427,1280
8600000US00953,00953,ZCTA5 00953,29793,1497,33436,2102,42056,4207,13520,1653
8600000US00956,00956,ZCTA5 00956,22432,958,25425,1233,34403,2062,12246,973
8600000US00957,00957,ZCTA5 00957,23886,1308,26260,1590,36688,3216,14562,1805
8600000US00959,00959,ZCTA5 00959,28215,1924,35264,2212,44929,2555,14167,1218
8600000US00960,00960,ZCTA5 00960,-,**,-,**,-,**,-,**
8600000US00961,00961,ZCTA5 00961,28203,2207,34741,3130,53679,4826,17379,2479
8600000US00962,00962,ZCTA5 00962,15782,1296,19293,1866,28162,1971,9578,1284
8600000US00965,00965,ZCTA5 00965,15274,1899,18000,2768,22471,4761,11087,1464
8600000US00966,00966,ZCTA5 00966,50570,6908,75148,7417,96453,8595,31259,2656
8600000US00968,00968,ZCTA5 00968,46047,6017,80357,14194,106304,27030,28203,6584
8600000US00969,00969,ZCTA5 00969,53175,2836,60978,3084,83121,8140,27660,3282
8600000US00971,00971,ZCTA5 00971,20860,2254,25314,3598,29123,2508,13077,1804
8600000US00976,00976,ZCTA5 00976,30027,1424,34620,2044,45059,3661,16301,1606
8600000US00979,00979,ZCTA5 00979,35251,4139,47844,6520,55917,5332,25033,4877
8600000US00982,00982,ZCTA5 00982,25362,4104,29524,1705,39779,3675,15349,3237
8600000US00983,00983,ZCTA5 00983,27612,1678,30033,1317,40807,2412,15801,2182
8600000US00985,00985,ZCTA5 00985,24091,1271,28991,2110,40854,3057,16081,870
8600000US00987,00987,ZCTA5 00987,31758,1526,35814,2411,46050,2240,19976,1591
8600000US01001,01001,ZCTA5 01001,56714,6167,82512,8931,87939,8234,33768,7947
8600000US01002,01002,ZCTA5 01002,48923,4421,94489,9366,109458,8012,27251,5217
8600000US01003,01003,ZCTA5 01003,"2,500-",***,-,**,-,**,"2,500-",***
8600000US01005,01005,ZCTA5 01005,70568,11002,99127,6714,100667,10194,37250,14580
8600000US01007,01007,ZCTA5 01007,80502,6457,92100,8440,106082,7874,40827,10200
8600000US01008,01008,ZCTA5 01008,67250,7495,72000,7971,77500,9513,55714,17820
8600000US01009,01009,ZCTA5 01009,-,**,57794,52780,58676,41777,-,**
8600000US01010,01010,ZCTA5 01010,83273,17084,95161,20787,126429,16529,36480,10926
8600000US01011,01011,ZCTA5 01011,74722,13218,78056,15211,86328,11174,60833,45713
8600000US01012,01012,ZCTA5 01012,60417,12755,69327,11459,78906,13369,39773,9011
8600000US01013,01013,ZCTA5 01013,40876,2642,48772,3728,66348,7501,30213,5675
8600000US01020,01020,ZCTA5 01020,57851,4323,70430,6677,84573,2875,36159,5702
8600000US01022,01022,ZCTA5 01022,44701,5075,53558,23546,67188,35338,37664,8861
8600000US01026,01026,ZCTA5 01026,50924,5223,53958,10569,61136,9304,44063,13927
8600000US01027,01027,ZCTA5 01027,61217,6149,74207,5955,87552,6069,38193,5243
8600000US01028,01028,ZCTA5 01028,83003,5394,101563,12501,110306,7916,37841,6849
8600000US01029,01029,ZCTA5 01029,54375,27582,53750,39532,76250,57267,43942,35661
